Version,1.3,Room Amount,9,Occupant Amount,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time, 1-1 ,End Time, 4-1,Number of Steps per Hour,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Room Number,0,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Room ID,S0_Outdoor,S1_Office_-_Private,S2_Office_-_Private,S3_Office_-_Private,S4_Office_-_Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupant Number,0,1,2,3,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Occupant ID,S1_Office_-_Private_O1,S1_Office_-_Private_O2,S1_Office_-_Private_O3,S1_Office_-_Private_O4,S1_Office_-_Private_O5,S2_Office_-_Private_O5,S2_Office_-_Private_O6,S2_Office_-_Private_O7,S2_Office_-_Private_O8,S2_Office_-_Private_O9,S2_Office_-_Private_O10,S2_Office_-_Private_O11,S3_Office_-_Private_O1,S3_Office_-_Private_O2,S3_Office_-_Private_O3,S3_Office_-_Private_O4,S3_Office_-_Private_O5,S3_Office_-_Private_O6,S3_Office_-_Private_O7,S3_Office_-_Private_O8,S3_Office_-_Private_O9,S3_Office_-_Private_O10,S3_Office_-_Private_O11,S4_Office_-_Private_O1,S4_Office_-_Private_O2,S4_Office_-_Private_O3,S4_Office_-_Private_O4,S4_Office_-_Private_O5,S4_Office_-_Private_O6,S4_Office_-_Private_O7,S4_Office_-_Private_O8,S4_Office_-_Private_O9,S4_Office_-_Private_O10,S4_Office_-_Private_O11,S5_Office_-_Private_O1,S5_Office_-_Private_O2,S5_Office_-_Private_O3,S5_Office_-_Private_O4,S5_Office_-_Private_O5,S5_Office_-_Private_O6,S5_Office_-_Private_O7,S5_Office_-_Private_O8,S5_Office_-_Private_O9,S5_Office_-_Private_O10,S5_Office_-_Private_O11
Step,Time,S1_Office_-_Private,S2_Office_-_Private,S3_Office_-_Private,S4_Office_-_Private,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, 1/1 0:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, 1/1 0:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, 1/1 0:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, 1/1 1:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5, 1/1 1:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6, 1/1 1:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7, 1/1 1:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8, 1/1 2:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
