Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:Plant [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:Plant [J](RunPeriod) 
January,8836872341.40922,8335692950.03963,2273178794.04003,501179391.369294 
February,7741698489.68504,7258990489.63168,1987239049.63204,482708000.053148 
March,8687346077.85314,7638134831.49562,2102795819.49606,1049211246.35726 
April,9357886288.33029,7976792129.90365,2177865545.90405,1381094158.4265 
May,10635694804.8184,8335692950.03963,2273178794.04003,2300001854.77865 
June,9549262706.32369,7279234011.35969,2007482571.36004,2270028694.96384 
July,9454306481.35529,8335692950.03963,2273178794.04003,1118613531.3156 
August,9379607103.66008,7986913890.76761,2187987306.76803,1392693212.89233 
September,9192150885.88801,7628013070.63167,2092674058.63205,1564137815.25621 
October,9524084693.93069,8335692950.03963,2273178794.04003,1188391743.89089 
November,8105052533.22805,7628013070.63164,2092674058.63205,477039462.596151 
December,8429557172.87316,7986913890.76765,2187987306.76804,442643282.105161,108893519579.382,94725777185.3835,25929420893.3504,14167742394.005 
