Date/Time,HW SUPPLY OUTLET NODE:System Node Temperature [C](TimeStep),HW DEMAND INLET NODE:System Node Temperature [C](TimeStep),HW DEMAND INLET NODE:System Node Mass Flow Rate [kg/s](TimeStep) 
 01/01  00:15:00,40.,51.098188904562,3.248182939283853E-02 
 01/01  00:30:00,40.,50.9471596531396,4.117825230474662E-02 
 01/01  00:45:00,40.,50.7600429296787,5.150960203412762E-02 
 01/01  01:00:00,40.,50.5406537135301,5.923051719106821E-02 
 01/01  01:15:00,40.,50.3024885921786,6.361436774662874E-02 
 01/01  01:30:00,40.,50.068393054417,5.989974060689168E-02 
 01/01  01:45:00,40.,49.8533183190691,5.613635566154689E-02 
 01/01  02:00:00,40.,49.6452394968815,5.858360815463164E-02 
 01/01  02:15:00,40.,49.4264190635194,6.477402048099953E-02 
 01/01  02:30:00,40.,49.1940016680052,6.941853250250561E-02 
 01/01  02:45:00,40.,48.9560896824966,7.149558972759150E-02 
 01/01  03:00:00,40.,48.7178950309784,7.338608315679666E-02 
 01/01  03:15:00,40.,48.4780489863423,7.656225092762964E-02 
 01/01  03:30:00,40.,48.2331529468856,8.099158729183317E-02 
 01/01  03:45:00,40.,47.9827452585696,8.502814294563521E-02 
 01/01  04:00:00,40.,47.729971022474,8.792248885263657E-02 
 01/01  04:15:00,40.,47.477852360449,9.030470652315041E-02 
 01/01  04:30:00,40.,47.2279006172872,9.242258537066184E-02 
 01/01  04:45:00,40.,46.9807133049731,9.460767316105881E-02 
 01/01  05:00:00,40.,46.7363208215361,9.693657492302424E-02 
 01/01  05:15:00,40.,46.4948591967485,9.926081568230952E-02 
 01/01  05:30:00,40.,46.25641070985,0.101782616796616 
 01/01  05:45:00,40.,46.02104791137,0.104318749379415 
 01/01  06:00:00,40.,45.7892819748403,0.106660155877637 
 01/01  06:15:00,40.,45.5622744120565,0.10833543103799 
 01/01  06:30:00,40.,45.3452282491022,0.10556465847668 
 01/01  06:45:00,40.,45.1393338037254,0.105547920801001 
 01/01  07:00:00,40.,44.9381375475395,0.109105649537163 
 01/01  07:15:00,40.,44.2514764410868,0.697079252476937 
 01/01  07:30:00,40.,43.3133093149967,0.646427487608365 
 01/01  07:45:00,40.,42.6219633615538,0.61438854546213 
 01/01  08:00:00,40.,42.1103697417494,0.553039232693055 
 01/01  08:15:00,60.,43.1402593950862,0.337943431198932 
 01/01  08:30:00,60.,44.7923028089772,0.25717379629679 
 01/01  08:45:00,60.,46.0911431512536,0.224914490396043 
 01/01  09:00:00,60.,47.1141308233679,0.18374001608472 
 01/01  09:15:00,60.,47.8915135673263,0.152792539181666 
 01/01  09:30:00,60.,48.49222974644,0.121069564784046 
 01/01  09:45:00,60.,48.9572507618106,0.101135695290767 
 01/01  10:00:00,60.,49.3371810804993,8.660340569068303E-02 
 01/01  10:15:00,60.,49.6487601705669,7.273331437625147E-02 
 01/01  10:30:00,60.,49.9032860158528,6.102277799853757E-02 
 01/01  10:45:00,60.,50.1116112427958,5.095694951011237E-02 
 01/01  11:00:00,60.,50.2815131631105,4.214388235408086E-02 
 01/01  11:15:00,60.,50.4191879468051,3.449798798428409E-02 
 01/01  11:30:00,60.,50.5297965860958,2.787485664222771E-02 
 01/01  11:45:00,60.,50.6175861304523,2.214762054925296E-02 
 01/01  12:00:00,60.,50.6855916262316,1.681431702106840E-02 
