Filename,Line number,Variable name,Units,Variable reference,Index type key,Variable type key,Keyed value
AirflowNetworkBalanceManager.cc,3289,"""AFN Zone Outdoor Air Mass Flow Rate""",kg/s,AirflowNetworkExchangeData( i ).SumMHr,"""System""","""Average""",Zone( i ).Name
AirflowNetworkBalanceManager.cc,3290,"""AFN Zone Mixing Mass Flow Rate""",kg/s,AirflowNetworkExchangeData( i ).SumMMHr,"""System""","""Average""",Zone( i ).Name
AirflowNetworkBalanceManager.cc,3291,"""AFN Zone Outdoor Air CO2 Mass Flow Rate""",kg/s,AirflowNetworkExchangeData( i ).SumMHrCO,"""System""","""Average""",Zone( i ).Name
AirflowNetworkBalanceManager.cc,3292,"""AFN Zone Mixing CO2 Mass Flow Rate""",kg/s,AirflowNetworkExchangeData( i ).SumMMHrCO,"""System""","""Average""",Zone( i ).Name
AirflowNetworkBalanceManager.cc,3293,"""AFN Zone Total CO2 Mass Flow Rate""",kg/s,AirflowNetworkExchangeData( i ).TotalCO2,"""System""","""Average""",Zone( i ).Name
AirflowNetworkBalanceManager.cc,3299,"""AFN Zone Outdoor Air Mass Flow Rate""",kg/s,AirflowNetworkExchangeData( i ).SumMHr,"""System""","""Average""",Zone( i ).Name
AirflowNetworkBalanceManager.cc,3300,"""AFN Zone Mixing Mass Flow Rate""",kg/s,AirflowNetworkExchangeData( i ).SumMMHr,"""System""","""Average""",Zone( i ).Name
AirflowNetworkBalanceManager.cc,3302,"""AFN Zone Outdoor Air Generic Air Contaminant Mass Flow Rate""",kg/s,AirflowNetworkExchangeData( i ).SumMHrGC,"""System""","""Average""",Zone( i ).Name
AirflowNetworkBalanceManager.cc,3303,"""AFN Zone Mixing Generic Air Contaminant Mass Flow Rate""",kg/s,AirflowNetworkExchangeData( i ).SumMMHrGC,"""System""","""Average""",Zone( i ).Name
AirflowNetworkBalanceManager.cc,3304,"""AFN Zone Total Generic Air Contaminant Mass Flow Rate""",kg/s,AirflowNetworkExchangeData( i ).TotalGC,"""System""","""Average""",Zone( i ).Name
AirflowNetworkBalanceManager.cc,3495,"""AFN Node Temperature""",C,AirflowNetworkNodeSimu( i ).TZ,"""System""","""Average""",AirflowNetworkNodeData( i ).Name
AirflowNetworkBalanceManager.cc,3496,"""AFN Node Humidity Ratio""",kgWater/kgDryAir,AirflowNetworkNodeSimu( i ).WZ,"""System""","""Average""",AirflowNetworkNodeData( i ).Name
AirflowNetworkBalanceManager.cc,3497,"""AFN Node CO2 Concentration""",ppm,AirflowNetworkNodeSimu( i ).CO2Z,"""System""","""Average""",AirflowNetworkNodeData( i ).Name
AirflowNetworkBalanceManager.cc,3498,"""AFN Node Generic Air Contaminant Concentration""",ppm,AirflowNetworkNodeSimu( i ).GCZ,"""System""","""Average""",AirflowNetworkNodeData( i ).Name
AirflowNetworkBalanceManager.cc,3499,"""AFN Node Total Pressure""",Pa,AirflowNetworkNodeSimu( i ).PZ,"""System""","""Average""",AirflowNetworkNodeData( i ).Name
AirflowNetworkBalanceManager.cc,3501,"""AFN Node Wind Pressure""",Pa,AirflowNetworkNodeSimu( i ).PZ,"""System""","""Average""",AirflowNetworkNodeData( i ).Name
AirflowNetworkBalanceManager.cc,3507,"""AFN Linkage Node 1 to Node 2 Mass Flow Rate""",kg/s,AirflowNetworkLinkReport( i ).FLOW,"""System""","""Average""",AirflowNetworkLinkageData( i ).Name
AirflowNetworkBalanceManager.cc,3508,"""AFN Linkage Node 2 to Node 1 Mass Flow Rate""",kg/s,AirflowNetworkLinkReport( i ).FLOW2,"""System""","""Average""",AirflowNetworkLinkageData( i ).Name
