Time,VAV SYS 1:DesPer 1:Des Heat Mass Flow [kg/s],VAV SYS 1:DesPer 1:Des Heat Cap [W],VAV SYS 1:DesPer 1:Des Cool Mass Flow [kg/s],VAV SYS 1:DesPer 1:Des Sens Cool Cap [W],VAV SYS 1:DesPer 1:Des Tot Cool Cap [W],VAV SYS 1:DesPer 2:Des Heat Mass Flow [kg/s],VAV SYS 1:DesPer 2:Des Heat Cap [W],VAV SYS 1:DesPer 2:Des Cool Mass Flow [kg/s],VAV SYS 1:DesPer 2:Des Sens Cool Cap [W],VAV SYS 1:DesPer 2:Des Tot Cool Cap [W]
00:05:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.100966E+03,5.535871E-01,6.693400E+03,1.378795E+04
00:10:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.128501E+03,5.535871E-01,6.665865E+03,1.375970E+04
00:15:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.156037E+03,5.535871E-01,6.638329E+03,1.373146E+04
00:20:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.183573E+03,5.535871E-01,6.610793E+03,1.370321E+04
00:25:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.211108E+03,5.535871E-01,6.583258E+03,1.367496E+04
00:30:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.238644E+03,5.535871E-01,6.555722E+03,1.364672E+04
00:35:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.266180E+03,5.535871E-01,6.528186E+03,1.361847E+04
00:40:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.293716E+03,5.535871E-01,6.500651E+03,1.359023E+04
00:45:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.321251E+03,5.535871E-01,6.473115E+03,1.356198E+04
00:50:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.348787E+03,5.535871E-01,6.445579E+03,1.353374E+04
00:55:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.376323E+03,5.535871E-01,6.418043E+03,1.350549E+04
01:00:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.403858E+03,5.535871E-01,6.390508E+03,1.347724E+04
01:05:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.422215E+03,5.535871E-01,6.372151E+03,1.345841E+04
01:10:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.440573E+03,5.535871E-01,6.353793E+03,1.343959E+04
01:15:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.458930E+03,5.535871E-01,6.335436E+03,1.342075E+04
01:20:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.477287E+03,5.535871E-01,6.317079E+03,1.340192E+04
01:25:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.495644E+03,5.535871E-01,6.298722E+03,1.338309E+04
01:30:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.514001E+03,5.535871E-01,6.280365E+03,1.336426E+04
01:35:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.532358E+03,5.535871E-01,6.262008E+03,1.334543E+04
01:40:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.550715E+03,5.535871E-01,6.243651E+03,1.332660E+04
01:45:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.569073E+03,5.535871E-01,6.225294E+03,1.330777E+04
01:50:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.587430E+03,5.535871E-01,6.206936E+03,1.328894E+04
01:55:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.605787E+03,5.535871E-01,6.188579E+03,1.327011E+04
02:00:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.624144E+03,5.535871E-01,6.170222E+03,1.325128E+04
02:05:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.637912E+03,5.535871E-01,6.156454E+03,1.323715E+04
02:10:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.651680E+03,5.535871E-01,6.142686E+03,1.322303E+04
02:15:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.665448E+03,5.535871E-01,6.128919E+03,1.320891E+04
02:20:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.679215E+03,5.535871E-01,6.115151E+03,1.319479E+04
02:25:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.692983E+03,5.535871E-01,6.101383E+03,1.318066E+04
02:30:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.706751E+03,5.535871E-01,6.087615E+03,1.316654E+04
02:35:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.720519E+03,5.535871E-01,6.073847E+03,1.315242E+04
02:40:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.734287E+03,5.535871E-01,6.060079E+03,1.313829E+04
02:45:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.748055E+03,5.535871E-01,6.046311E+03,1.312417E+04
02:50:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.761822E+03,5.535871E-01,6.032544E+03,1.311005E+04
02:55:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.775590E+03,5.535871E-01,6.018776E+03,1.309593E+04
03:00:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.789358E+03,5.535871E-01,6.005008E+03,1.308180E+04
03:05:00,6.242656E-01,2.890734E+04,5.535871E-01,0.000000E+00,0.000000E+00,5.535871E-01,6.803126E+03,5.535871E-01,5.991240E+03,1.306768E+04
