Date/Time,Electricity:HVAC [J](TimeStep),VAV Supply Fan Energy:Fans:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep),Fans:Electricity [J](TimeStep),HeatRecovery:Electricity [J](TimeStep),InteriorEquipment:Electricity:Zone:1ST%FLOOR:1ST%RESEARCH%OPEN%SM [J](TimeStep),InteriorLights:Electricity:Zone:1ST%FLOOR:1ST%RESEARCH%OPEN%SM [J](TimeStep),Heating:Electricity [J](TimeStep),Electricity:Plant [J](TimeStep) 
 06/01  00:10:00,4901901.88899534,627735.681795157,2188319.90269687,627735.681795157,0.0,92112.6819705879,3660.80234076755,2085846.30450331,0.0 
 06/01  00:20:00,5169711.33624444,627735.681795157,2342326.22701254,627735.681795157,0.0,92112.6819705879,3660.80234076755,2199649.42743674,0.0 
 06/01  00:30:00,5159440.42318686,627735.681795157,2349724.26613052,627735.681795157,0.0,92112.6819705879,3660.80234076755,2181980.47526119,0.0 
 06/01  00:40:00,5245656.76423262,627735.681795157,2411418.19855691,627735.681795157,0.0,92112.6819705879,3660.80234076755,2206502.88388055,0.0 
 06/01  00:50:00,5352939.80081394,627735.681795157,2484127.51751643,627735.681795157,0.0,92112.6819705879,3660.80234076755,2241076.60150235,0.0 
 06/01  01:00:00,5437904.06788088,627735.681795157,2549437.40487349,627735.681795157,0.0,92112.6819705879,3660.80234076755,2260730.98121223,0.0 
 06/01  01:10:00,5144110.79189783,627735.681795157,2388573.58524101,627735.681795157,0.0,89376.6617141169,3660.80234076755,2127801.52486166,0.0 
 06/01  01:20:00,5147339.75234842,627735.681795157,2394694.45545359,627735.681795157,0.0,89376.6617141169,3660.80234076755,2124909.61509968,0.0 
 06/01  01:30:00,5029690.27999461,627735.681795157,2333572.79528488,627735.681795157,0.0,89376.6617141169,3660.80234076755,2068381.80291457,0.0 
 06/01  01:40:00,4875264.59140834,627735.681795157,2251739.73225238,627735.681795157,0.0,89376.6617141169,3660.80234076755,1995789.1773608,0.0 
 06/01  01:50:00,4779339.44640171,627735.681795157,2202554.44712798,627735.681795157,0.0,89376.6617141169,3660.80234076755,1949049.31747857,0.0 
 06/01  02:00:00,4630161.80390698,627735.681795157,2124160.30914002,627735.681795157,0.0,89376.6617141169,3660.80234076755,1878265.8129718,0.0 
 06/01  02:10:00,4497705.08414982,627735.681795157,2064834.42000386,627735.681795157,0.0,89376.6617141169,3660.80234076755,1805134.9823508,0.0 
 06/01  02:20:00,4887091.85581786,627735.681795157,2296430.7326593,627735.681795157,0.0,89376.6617141169,3660.80234076755,1962925.44136341,0.0 
 06/01  02:30:00,4140240.33798218,627735.681795157,1896240.5772888,627735.681795157,0.0,89376.6617141169,3660.80234076755,1616264.07889822,0.0 
 06/01  02:40:00,4683934.12073813,627735.681795157,2199524.66651836,627735.681795157,0.0,89376.6617141169,3660.80234076755,1856673.77242461,0.0 
 06/01  02:50:00,3967522.65131336,627735.681795157,1813472.41826218,627735.681795157,0.0,89376.6617141169,3660.80234076755,1526314.55125602,0.0 
 06/01  03:00:00,4214666.29596956,627735.681795157,1952174.2856289,627735.681795157,0.0,89376.6617141169,3660.80234076755,1634756.3285455,0.0 
 06/01  03:10:00,4316904.3259917,627735.681795157,2017477.51493412,627735.681795157,0.0,92112.6819705879,3660.80234076755,1671691.12926242,0.0 
 06/01  03:20:00,3838702.23143084,627735.681795157,1753846.83127056,627735.681795157,0.0,92112.6819705879,3660.80234076755,1457119.71836512,0.0 
 06/01  03:30:00,3998021.46441429,627735.681795157,1843347.17356676,627735.681795157,0.0,92112.6819705879,3660.80234076755,1526938.60905238,0.0 
 06/01  03:40:00,4179254.42612227,627735.681795157,1955537.28372193,627735.681795157,0.0,92112.6819705879,3660.80234076755,1595981.46060518,0.0 
 06/01  03:50:00,3582922.57282547,627735.681795157,1624630.78734531,627735.681795157,0.0,92112.6819705879,3660.80234076755,1330556.10368501,0.0 
 06/01  04:00:00,3823879.10615342,627735.681795157,1761672.7755672,627735.681795157,0.0,92112.6819705879,3660.80234076755,1434470.64879106,0.0 
 06/01  04:10:00,3984156.59215328,627735.681795157,1860908.82639249,627735.681795157,0.0,94848.7022272804,3660.80234076755,1495512.08396563,0.0 
 06/01  04:20:00,3815139.35051062,627735.681795157,1774591.10352784,627735.681795157,0.0,94848.7022272804,3660.80234076755,1412812.56518762,0.0 
