Time,AIR LOOP:DesPer 1:Des Heat Mass Flow [kg/s],AIR LOOP:DesPer 1:Des Heat Cap [W],AIR LOOP:DesPer 1:Des Cool Mass Flow [kg/s],AIR LOOP:DesPer 1:Des Sens Cool Cap [W],AIR LOOP:DesPer 1:Des Tot Cool Cap [W],AIR LOOP:DesPer 2:Des Heat Mass Flow [kg/s],AIR LOOP:DesPer 2:Des Heat Cap [W],AIR LOOP:DesPer 2:Des Cool Mass Flow [kg/s],AIR LOOP:DesPer 2:Des Sens Cool Cap [W],AIR LOOP:DesPer 2:Des Tot Cool Cap [W]
00:10:00,3.924611E-01,1.189019E+03,1.619904E+00,1.618831E+04,2.552304E+04,5.235359E+00,3.637071E+04,3.924611E-01,0.000000E+00,0.000000E+00
00:20:00,3.924611E-01,1.230428E+03,1.583328E+00,1.577536E+04,2.509192E+04,5.236643E+00,3.637552E+04,3.924611E-01,0.000000E+00,0.000000E+00
00:30:00,3.924611E-01,1.271836E+03,1.547992E+00,1.537506E+04,2.467358E+04,5.237979E+00,3.638134E+04,3.924611E-01,0.000000E+00,0.000000E+00
00:40:00,3.924611E-01,1.313245E+03,1.512276E+00,1.497480E+04,2.424878E+04,5.238672E+00,3.638409E+04,3.924611E-01,0.000000E+00,0.000000E+00
00:50:00,3.924611E-01,1.354654E+03,1.481254E+00,1.462469E+04,2.388203E+04,5.239449E+00,3.638719E+04,3.924611E-01,0.000000E+00,0.000000E+00
01:00:00,3.924611E-01,1.396062E+03,1.452023E+00,1.429335E+04,2.353381E+04,5.240111E+00,3.638983E+04,3.924611E-01,0.000000E+00,0.000000E+00
01:10:00,3.924611E-01,1.423668E+03,1.420528E+00,1.395173E+04,2.316214E+04,5.255108E+00,3.645019E+04,3.924611E-01,0.000000E+00,0.000000E+00
01:20:00,3.924611E-01,1.451274E+03,1.393978E+00,1.366010E+04,2.285152E+04,5.255807E+00,3.645288E+04,3.924611E-01,0.000000E+00,0.000000E+00
01:30:00,3.924611E-01,1.478880E+03,1.368444E+00,1.337717E+04,2.254799E+04,5.256591E+00,3.645619E+04,3.924611E-01,0.000000E+00,0.000000E+00
01:40:00,3.924611E-01,1.506485E+03,1.343652E+00,1.310100E+04,2.224865E+04,5.257160E+00,3.645848E+04,3.924611E-01,0.000000E+00,0.000000E+00
01:50:00,3.924611E-01,1.534091E+03,1.321884E+00,1.285643E+04,2.198903E+04,5.257750E+00,3.646084E+04,3.924611E-01,0.000000E+00,0.000000E+00
02:00:00,3.924611E-01,1.561697E+03,1.302347E+00,1.263468E+04,2.175746E+04,5.258300E+00,3.646305E+04,3.924611E-01,0.000000E+00,0.000000E+00
02:10:00,3.924611E-01,1.582401E+03,1.292169E+00,1.251673E+04,2.165953E+04,5.261490E+00,3.647588E+04,3.924611E-01,0.000000E+00,0.000000E+00
02:20:00,3.924611E-01,1.603106E+03,1.273950E+00,1.231396E+04,2.144361E+04,5.262017E+00,3.647797E+04,3.924611E-01,0.000000E+00,0.000000E+00
02:30:00,3.924611E-01,1.623810E+03,1.255010E+00,1.210146E+04,2.121219E+04,5.262548E+00,3.648014E+04,3.924611E-01,0.000000E+00,0.000000E+00
02:40:00,3.924611E-01,1.644514E+03,1.236058E+00,1.188837E+04,2.097752E+04,5.263027E+00,3.648206E+04,3.924611E-01,0.000000E+00,0.000000E+00
02:50:00,3.924611E-01,1.665218E+03,1.217108E+00,1.167561E+04,2.074105E+04,5.263500E+00,3.648396E+04,3.924611E-01,0.000000E+00,0.000000E+00
03:00:00,3.924611E-01,1.685923E+03,1.198367E+00,1.146535E+04,2.050585E+04,5.263956E+00,3.648579E+04,3.924611E-01,0.000000E+00,0.000000E+00
03:10:00,3.924611E-01,1.706627E+03,1.197193E+00,1.143874E+04,2.052006E+04,5.259607E+00,3.646829E+04,3.924611E-01,0.000000E+00,0.000000E+00
03:20:00,3.924611E-01,1.727331E+03,1.178289E+00,1.122506E+04,2.027438E+04,5.259998E+00,3.646990E+04,3.924611E-01,0.000000E+00,0.000000E+00
03:30:00,3.924611E-01,1.748036E+03,1.160498E+00,1.102287E+04,2.004129E+04,5.260342E+00,3.647122E+04,3.924611E-01,0.000000E+00,0.000000E+00
03:40:00,3.924611E-01,1.768740E+03,1.145041E+00,1.084556E+04,1.984197E+04,5.260737E+00,3.647281E+04,3.924611E-01,0.000000E+00,0.000000E+00
03:50:00,3.924611E-01,1.789444E+03,1.129849E+00,1.067180E+04,1.964692E+04,5.261110E+00,3.647432E+04,3.924611E-01,0.000000E+00,0.000000E+00
04:00:00,3.924611E-01,1.810149E+03,1.116237E+00,1.051427E+04,1.947482E+04,5.261480E+00,3.647581E+04,3.924611E-01,0.000000E+00,0.000000E+00
04:10:00,3.924611E-01,1.823952E+03,1.081055E+00,1.013738E+04,1.899360E+04,5.251197E+00,3.643442E+04,3.924611E-01,0.000000E+00,0.000000E+00
04:20:00,3.924611E-01,1.837754E+03,1.069899E+00,1.001369E+04,1.886679E+04,5.251468E+00,3.643559E+04,3.924611E-01,0.000000E+00,0.000000E+00
04:30:00,3.924611E-01,1.851557E+03,1.057675E+00,9.878209E+03,1.872412E+04,5.251652E+00,3.643621E+04,3.924611E-01,0.000000E+00,0.000000E+00
04:40:00,3.924611E-01,1.865360E+03,1.044824E+00,9.734454E+03,1.856865E+04,5.251968E+00,3.643748E+04,3.924611E-01,0.000000E+00,0.000000E+00
04:50:00,3.924611E-01,1.879163E+03,1.031759E+00,9.587950E+03,1.840705E+04,5.252250E+00,3.643862E+04,3.924611E-01,0.000000E+00,0.000000E+00
05:00:00,3.924611E-01,1.892966E+03,1.019289E+00,9.447282E+03,1.825157E+04,5.252539E+00,3.643979E+04,3.924611E-01,0.000000E+00,0.000000E+00
05:10:00,3.924611E-01,1.879163E+03,1.015522E+00,9.426277E+03,1.825373E+04,5.266670E+00,3.649668E+04,3.924611E-01,0.000000E+00,0.000000E+00
