Program Version:,EnergyPlus, Version 8.3.0-6d97d074ea, YMD=2018.04.26 10:12
Tabular Output Report in Format: ,Comma

Building:,Building
Environment:,PHIPPS_CSL_BUILDING_WINTER ** Pittsburgh Allegheny Co Ap PA USA TMY3 WMO#=725205

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      2928.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [kWh],Energy Per Total Building Area [kWh/m2],Energy Per Conditioned Building Area [kWh/m2]
,Total Site Energy,25021.94,8.58,10.39
,Net Site Energy,25021.94,8.58,10.39
,Total Source Energy,79244.50,27.19,32.92
,Net Source Energy,79244.50,27.19,32.92


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,0.300
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil #1,1.050
,Fuel Oil #2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,2914.99
,Net Conditioned Building Area,2407.15
,Unconditioned Building Area,507.84


End Uses

,,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Heating,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,5353.59,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,4508.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,964.46,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,9456.56,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,988.11,0.00,0.00,0.00,0.00,0.00
,Fans,1994.43,0.00,0.00,0.00,0.00,0.00
,Pumps,1756.80,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,
,Total End Uses,25021.94,0.00,0.00,0.00,0.00,0.00


End Uses By Subcategory

,,Subcategory,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Heating,General,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,General,5353.59,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Conference#GeneralLights,7.93,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Research%Open%NE#GeneralLights,63.92,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Lobby#GeneralLights,459.73,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Classroom#GeneralLights,94.16,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Vestibule#GeneralLights,6.36,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Electrical%Room#GeneralLights,0.61,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Restroom#GeneralLights,230.24,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Research%Open%NW#GeneralLights,65.48,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Research%Open%NM#GeneralLights,47.77,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Break%Room#GeneralLights,97.28,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Phone%Booth#GeneralLights,45.73,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Volunteer%Area#GeneralLights,118.74,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Research%Open%SW#GeneralLights,59.88,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Research%Open%SM#GeneralLights,72.50,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Research%Open%SE#GeneralLights,74.66,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Mchncl%Rm%01#GeneralLights,1.36,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Corridor#GeneralLights,59.31,0.00,0.00,0.00,0.00,0.00
