1,1.1mp.cws.pittsburgh.whole,,
,,,
Date/Time,[1] Plant Supply Side Cooling Demand Rate (W),[1] System Node Mass Flow Rate (kg/s),
,CHILLEDWATERLOOP,CHILLEDWATER_PUMPOUTLETNODE,Flow Frac
2002/1/1 0:10,0,0,0
2002/1/1 0:20,0,0,0
2002/1/1 0:30,0,0,0
2002/1/1 0:40,0,0,0
2002/1/1 0:50,0,0,0
2002/1/1 1:00,0,0,0
2002/1/1 1:10,0,0,0
2002/1/1 1:20,0,0,0
2002/1/1 1:30,0,0,0
2002/1/1 1:40,0,0,0
2002/1/1 1:50,0,0,0
2002/1/1 2:00,0,0,0
2002/1/1 2:10,0,0,0
2002/1/1 2:20,0,0,0
2002/1/1 2:30,0,0,0
2002/1/1 2:40,0,0,0
2002/1/1 2:50,0,0,0
2002/1/1 3:00,0,0,0
2002/1/1 3:10,0,0,0
2002/1/1 3:20,0,0,0
2002/1/1 3:30,0,0,0
2002/1/1 3:40,0,0,0
2002/1/1 3:50,0,0,0
2002/1/1 4:00,0,0,0
2002/1/1 4:10,0,0,0
2002/1/1 4:20,0,0,0
2002/1/1 4:30,0,0,0
2002/1/1 4:40,0,0,0
2002/1/1 4:50,0,0,0
2002/1/1 5:00,0,0,0
2002/1/1 5:10,0,0,0
2002/1/1 5:20,0,0,0
2002/1/1 5:30,0,0,0
2002/1/1 5:40,0,0,0
2002/1/1 5:50,0,0,0
2002/1/1 6:00,0,0,0
2002/1/1 6:10,0,0,0
2002/1/1 6:20,0,0,0
2002/1/1 6:30,0,0,0
2002/1/1 6:40,0,0,0
2002/1/1 6:50,0,0,0
2002/1/1 7:00,0,0,0
2002/1/1 7:10,0,0,0
2002/1/1 7:20,0,0,0
2002/1/1 7:30,0,0,0
2002/1/1 7:40,0,0,0
2002/1/1 7:50,0,0,0
2002/1/1 8:00,0,0,0
2002/1/1 8:10,0,0,0
2002/1/1 8:20,0,0,0
2002/1/1 8:30,0,0,0
2002/1/1 8:40,0,0,0
2002/1/1 8:50,0,0,0
2002/1/1 9:00,0,0,0
2002/1/1 9:10,0,0,0
2002/1/1 9:20,0,0,0
2002/1/1 9:30,0,0,0
2002/1/1 9:40,0,0,0
2002/1/1 9:50,0,0,0
2002/1/1 10:00,0,0,0
2002/1/1 10:10,0,0,0
2002/1/1 10:20,0,0,0
2002/1/1 10:30,0,0,0
2002/1/1 10:40,0,0,0
2002/1/1 10:50,0,0,0
2002/1/1 11:00,0,0,0
2002/1/1 11:10,0,0,0
2002/1/1 11:20,0,0,0
2002/1/1 11:30,0,0,0
2002/1/1 11:40,0,0,0
2002/1/1 11:50,0,0,0
2002/1/1 12:00,0,0,0
2002/1/1 12:10,0,0,0
2002/1/1 12:20,0,0,0
2002/1/1 12:30,0,0,0
2002/1/1 12:40,0,0,0
2002/1/1 12:50,0,0,0
2002/1/1 13:00,0,0,0
2002/1/1 13:10,0,0,0
2002/1/1 13:20,0,0,0
2002/1/1 13:30,0,0,0
2002/1/1 13:40,0,0,0
2002/1/1 13:50,0,0,0
2002/1/1 14:00,0,0,0
2002/1/1 14:10,0,0,0
2002/1/1 14:20,0,0,0
2002/1/1 14:30,0,0,0
2002/1/1 14:40,0,0,0
2002/1/1 14:50,0,0,0
2002/1/1 15:00,0,0,0
2002/1/1 15:10,0,0,0
2002/1/1 15:20,0,0,0
2002/1/1 15:30,0,0,0
2002/1/1 15:40,0,0,0
2002/1/1 15:50,0,0,0
2002/1/1 16:00,0,0,0
2002/1/1 16:10,0,0,0
2002/1/1 16:20,0,0,0
2002/1/1 16:30,0,0,0
2002/1/1 16:40,0,0,0
2002/1/1 16:50,0,0,0
2002/1/1 17:00,0,0,0
2002/1/1 17:10,0,0,0
2002/1/1 17:20,0,0,0
2002/1/1 17:30,0,0,0
2002/1/1 17:40,0,0,0
2002/1/1 17:50,0,0,0
2002/1/1 18:00,0,0,0
2002/1/1 18:10,0,0,0
2002/1/1 18:20,0,0,0
2002/1/1 18:30,0,0,0
2002/1/1 18:40,0,0,0
2002/1/1 18:50,0,0,0
2002/1/1 19:00,0,0,0
2002/1/1 19:10,0,0,0
2002/1/1 19:20,0,0,0
2002/1/1 19:30,0,0,0
2002/1/1 19:40,0,0,0
2002/1/1 19:50,0,0,0
2002/1/1 20:00,0,0,0
2002/1/1 20:10,0,0,0
2002/1/1 20:20,0,0,0
2002/1/1 20:30,0,0,0
2002/1/1 20:40,0,0,0
2002/1/1 20:50,0,0,0
2002/1/1 21:00,0,0,0
2002/1/1 21:10,0,0,0
2002/1/1 21:20,0,0,0
2002/1/1 21:30,0,0,0
2002/1/1 21:40,0,0,0
2002/1/1 21:50,0,0,0
2002/1/1 22:00,0,0,0
2002/1/1 22:10,0,0,0
2002/1/1 22:20,0,0,0
2002/1/1 22:30,0,0,0
2002/1/1 22:40,0,0,0
2002/1/1 22:50,0,0,0
2002/1/1 23:00,0,0,0
2002/1/1 23:10,0,0,0
2002/1/1 23:20,0,0,0
2002/1/1 23:30,0,0,0
2002/1/1 23:40,0,0,0
2002/1/1 23:50,0,0,0
2002/1/2 0:00,0,0,0
2002/1/2 0:10,0,0,0
2002/1/2 0:20,0,0,0
2002/1/2 0:30,0,0,0
2002/1/2 0:40,0,0,0
2002/1/2 0:50,0,0,0
2002/1/2 1:00,0,0,0
2002/1/2 1:10,0,0,0
2002/1/2 1:20,0,0,0
2002/1/2 1:30,0,0,0
2002/1/2 1:40,0,0,0
2002/1/2 1:50,0,0,0
2002/1/2 2:00,0,0,0
2002/1/2 2:10,0,0,0
2002/1/2 2:20,0,0,0
2002/1/2 2:30,0,0,0
2002/1/2 2:40,0,0,0
2002/1/2 2:50,0,0,0
2002/1/2 3:00,0,0,0
2002/1/2 3:10,0,0,0
2002/1/2 3:20,0,0,0
2002/1/2 3:30,0,0,0
2002/1/2 3:40,0,0,0
2002/1/2 3:50,0,0,0
2002/1/2 4:00,0,0,0
2002/1/2 4:10,0,0,0
2002/1/2 4:20,0,0,0
2002/1/2 4:30,0,0,0
2002/1/2 4:40,0,0,0
2002/1/2 4:50,0,0,0
2002/1/2 5:00,0,0,0
2002/1/2 5:10,0,0,0
2002/1/2 5:20,0,0,0
2002/1/2 5:30,0,0,0
2002/1/2 5:40,0,0,0
2002/1/2 5:50,0,0,0
2002/1/2 6:00,0,0,0
2002/1/2 6:10,0,0,0
2002/1/2 6:20,0,0,0
2002/1/2 6:30,0,0,0
2002/1/2 6:40,0,0,0
2002/1/2 6:50,0,0,0
2002/1/2 7:00,0,0,0
2002/1/2 7:10,0,0,0
2002/1/2 7:20,0,0,0
2002/1/2 7:30,0,0,0
2002/1/2 7:40,0,0,0
2002/1/2 7:50,0,0,0
2002/1/2 8:00,0,0,0
2002/1/2 8:10,0,0,0
2002/1/2 8:20,0,0,0
2002/1/2 8:30,0,0,0
2002/1/2 8:40,0,0,0
2002/1/2 8:50,0,0,0
2002/1/2 9:00,0,0,0
2002/1/2 9:10,0,0,0
2002/1/2 9:20,0,0,0
2002/1/2 9:30,0,0,0
2002/1/2 9:40,0,0,0
2002/1/2 9:50,0,0,0
2002/1/2 10:00,0,0,0
2002/1/2 10:10,0,0,0
2002/1/2 10:20,0,0,0
2002/1/2 10:30,0,0,0
2002/1/2 10:40,0,0,0
2002/1/2 10:50,0,0,0
2002/1/2 11:00,0,0,0
2002/1/2 11:10,0,0,0
2002/1/2 11:20,0,0,0
2002/1/2 11:30,0,0,0
2002/1/2 11:40,0,0,0
2002/1/2 11:50,0,0,0
2002/1/2 12:00,0,0,0
2002/1/2 12:10,0,0,0
2002/1/2 12:20,0,0,0
2002/1/2 12:30,0,0,0
2002/1/2 12:40,0,0,0
2002/1/2 12:50,0,0,0
2002/1/2 13:00,0,0,0
2002/1/2 13:10,0,0,0
2002/1/2 13:20,0,0,0
2002/1/2 13:30,0,0,0
2002/1/2 13:40,0,0,0
2002/1/2 13:50,0,0,0
2002/1/2 14:00,0,0,0
2002/1/2 14:10,0,0,0
2002/1/2 14:20,0,0,0
2002/1/2 14:30,0,0,0
2002/1/2 14:40,0,0,0
2002/1/2 14:50,0,0,0
2002/1/2 15:00,0,0,0
2002/1/2 15:10,0,0,0
2002/1/2 15:20,0,0,0
2002/1/2 15:30,0,0,0
2002/1/2 15:40,0,0,0
2002/1/2 15:50,0,0,0
2002/1/2 16:00,0,0,0
2002/1/2 16:10,0,0,0
2002/1/2 16:20,0,0,0
2002/1/2 16:30,0,0,0
2002/1/2 16:40,0,0,0
2002/1/2 16:50,0,0,0
2002/1/2 17:00,0,0,0
2002/1/2 17:10,0,0,0
2002/1/2 17:20,0,0,0
2002/1/2 17:30,0,0,0
2002/1/2 17:40,0,0,0
2002/1/2 17:50,0,0,0
2002/1/2 18:00,0,0,0
2002/1/2 18:10,0,0,0
2002/1/2 18:20,0,0,0
2002/1/2 18:30,0,0,0
2002/1/2 18:40,0,0,0
2002/1/2 18:50,0,0,0
2002/1/2 19:00,0,0,0
2002/1/2 19:10,0,0,0
2002/1/2 19:20,0,0,0
2002/1/2 19:30,0,0,0
2002/1/2 19:40,0,0,0
2002/1/2 19:50,0,0,0
2002/1/2 20:00,0,0,0
2002/1/2 20:10,0,0,0
2002/1/2 20:20,0,0,0
2002/1/2 20:30,0,0,0
2002/1/2 20:40,0,0,0
2002/1/2 20:50,0,0,0
2002/1/2 21:00,0,0,0
2002/1/2 21:10,0,0,0
2002/1/2 21:20,0,0,0
2002/1/2 21:30,0,0,0
2002/1/2 21:40,0,0,0
2002/1/2 21:50,0,0,0
2002/1/2 22:00,0,0,0
2002/1/2 22:10,0,0,0
2002/1/2 22:20,0,0,0
2002/1/2 22:30,0,0,0
2002/1/2 22:40,0,0,0
2002/1/2 22:50,0,0,0
2002/1/2 23:00,0,0,0
2002/1/2 23:10,0,0,0
2002/1/2 23:20,0,0,0
2002/1/2 23:30,0,0,0
2002/1/2 23:40,0,0,0
2002/1/2 23:50,0,0,0
2002/1/3 0:00,0,0,0
2002/1/3 0:10,0,0,0
2002/1/3 0:20,0,0,0
2002/1/3 0:30,0,0,0
2002/1/3 0:40,0,0,0
2002/1/3 0:50,0,0,0
2002/1/3 1:00,0,0,0
2002/1/3 1:10,0,0,0
2002/1/3 1:20,0,0,0
