Time,AIR LOOP:DesPer 1:Des Heat Mass Flow [kg/s],AIR LOOP:DesPer 1:Des Heat Cap [W],AIR LOOP:DesPer 1:Des Cool Mass Flow [kg/s],AIR LOOP:DesPer 1:Des Sens Cool Cap [W],AIR LOOP:DesPer 1:Des Tot Cool Cap [W],AIR LOOP:DesPer 2:Des Heat Mass Flow [kg/s],AIR LOOP:DesPer 2:Des Heat Cap [W],AIR LOOP:DesPer 2:Des Cool Mass Flow [kg/s],AIR LOOP:DesPer 2:Des Sens Cool Cap [W],AIR LOOP:DesPer 2:Des Tot Cool Cap [W]
00:05:00,5.419956E+00,1.613463E+04,5.419956E+00,4.922084E+04,1.278621E+05,8.951089E+00,2.615298E+05,5.419956E+00,0.000000E+00,0.000000E+00
00:10:00,5.419956E+00,1.642056E+04,5.419956E+00,4.893491E+04,1.275687E+05,8.962529E+00,2.616219E+05,5.419956E+00,0.000000E+00,0.000000E+00
00:15:00,5.419956E+00,1.670649E+04,5.419956E+00,4.864898E+04,1.272753E+05,8.973560E+00,2.617108E+05,5.419956E+00,0.000000E+00,0.000000E+00
00:20:00,5.419956E+00,1.699242E+04,5.419956E+00,4.836305E+04,1.269819E+05,8.984037E+00,2.617951E+05,5.419956E+00,0.000000E+00,0.000000E+00
00:25:00,5.419956E+00,1.727835E+04,5.419956E+00,4.807712E+04,1.266885E+05,8.994305E+00,2.618778E+05,5.419956E+00,0.000000E+00,0.000000E+00
00:30:00,5.419956E+00,1.756428E+04,5.419956E+00,4.779119E+04,1.263951E+05,9.004303E+00,2.619583E+05,5.419956E+00,0.000000E+00,0.000000E+00
00:35:00,5.419956E+00,1.785021E+04,5.419956E+00,4.750526E+04,1.261017E+05,9.014042E+00,2.620367E+05,5.419956E+00,0.000000E+00,0.000000E+00
00:40:00,5.419956E+00,1.813614E+04,5.419956E+00,4.721933E+04,1.258083E+05,9.023562E+00,2.621133E+05,5.419956E+00,0.000000E+00,0.000000E+00
00:45:00,5.419956E+00,1.842207E+04,5.419956E+00,4.693340E+04,1.255149E+05,9.032876E+00,2.621883E+05,5.419956E+00,0.000000E+00,0.000000E+00
00:50:00,5.419956E+00,1.870800E+04,5.419956E+00,4.664747E+04,1.252214E+05,9.041992E+00,2.622617E+05,5.419956E+00,0.000000E+00,0.000000E+00
00:55:00,5.419956E+00,1.899393E+04,5.419956E+00,4.636154E+04,1.249281E+05,9.050915E+00,2.623336E+05,5.419956E+00,0.000000E+00,0.000000E+00
01:00:00,5.419956E+00,1.927986E+04,5.419956E+00,4.607561E+04,1.246346E+05,9.059648E+00,2.624039E+05,5.419956E+00,0.000000E+00,0.000000E+00
01:05:00,5.419956E+00,1.947048E+04,5.419956E+00,4.588499E+04,1.244390E+05,9.068191E+00,2.624726E+05,5.419956E+00,0.000000E+00,0.000000E+00
01:10:00,5.419956E+00,1.966110E+04,5.419956E+00,4.569437E+04,1.242435E+05,9.076551E+00,2.625400E+05,5.419956E+00,0.000000E+00,0.000000E+00
01:15:00,5.419956E+00,1.985172E+04,5.419956E+00,4.550375E+04,1.240478E+05,9.084735E+00,2.626059E+05,5.419956E+00,0.000000E+00,0.000000E+00
01:20:00,5.419956E+00,2.004234E+04,5.419956E+00,4.531313E+04,1.238522E+05,9.092748E+00,2.626704E+05,5.419956E+00,0.000000E+00,0.000000E+00
01:25:00,5.419956E+00,2.023296E+04,5.419956E+00,4.512251E+04,1.236566E+05,9.100596E+00,2.627336E+05,5.419956E+00,0.000000E+00,0.000000E+00
01:30:00,5.419956E+00,2.042358E+04,5.419956E+00,4.493189E+04,1.234611E+05,9.108277E+00,2.627954E+05,5.419956E+00,0.000000E+00,0.000000E+00
01:35:00,5.419956E+00,2.061421E+04,5.419956E+00,4.474127E+04,1.232654E+05,9.115799E+00,2.628560E+05,5.419956E+00,0.000000E+00,0.000000E+00
01:40:00,5.419956E+00,2.080483E+04,5.419956E+00,4.455065E+04,1.230698E+05,9.123168E+00,2.629153E+05,5.419956E+00,0.000000E+00,0.000000E+00
01:45:00,5.419956E+00,2.099545E+04,5.419956E+00,4.436003E+04,1.228742E+05,9.130389E+00,2.629734E+05,5.419956E+00,0.000000E+00,0.000000E+00
01:50:00,5.419956E+00,2.118607E+04,5.419956E+00,4.416941E+04,1.226786E+05,9.137465E+00,2.630304E+05,5.419956E+00,0.000000E+00,0.000000E+00
01:55:00,5.419956E+00,2.137669E+04,5.419956E+00,4.397879E+04,1.224830E+05,9.144396E+00,2.630862E+05,5.419956E+00,0.000000E+00,0.000000E+00
02:00:00,5.419956E+00,2.156731E+04,5.419956E+00,4.378817E+04,1.222874E+05,9.151188E+00,2.631409E+05,5.419956E+00,0.000000E+00,0.000000E+00
02:05:00,5.419956E+00,2.171027E+04,5.419956E+00,4.364520E+04,1.221407E+05,9.157848E+00,2.631945E+05,5.419956E+00,0.000000E+00,0.000000E+00
02:10:00,5.419956E+00,2.185324E+04,5.419956E+00,4.350224E+04,1.219939E+05,9.164377E+00,2.632471E+05,5.419956E+00,0.000000E+00,0.000000E+00
02:15:00,5.419956E+00,2.199620E+04,5.419956E+00,4.335927E+04,1.218473E+05,9.170779E+00,2.632986E+05,5.419956E+00,0.000000E+00,0.000000E+00
02:20:00,5.419956E+00,2.213917E+04,5.419956E+00,4.321631E+04,1.217006E+05,9.177056E+00,2.633492E+05,5.419956E+00,0.000000E+00,0.000000E+00
02:25:00,5.419956E+00,2.228213E+04,5.419956E+00,4.307334E+04,1.215538E+05,9.183211E+00,2.633987E+05,5.419956E+00,0.000000E+00,0.000000E+00
02:30:00,5.419956E+00,2.242510E+04,5.419956E+00,4.293038E+04,1.214071E+05,9.189248E+00,2.634474E+05,5.419956E+00,0.000000E+00,0.000000E+00
02:35:00,5.419956E+00,2.256806E+04,5.419956E+00,4.278741E+04,1.212605E+05,9.195172E+00,2.634950E+05,5.419956E+00,0.000000E+00,0.000000E+00
02:40:00,5.419956E+00,2.271103E+04,5.419956E+00,4.264445E+04,1.211137E+05,9.200985E+00,2.635419E+05,5.419956E+00,0.000000E+00,0.000000E+00
02:45:00,5.419956E+00,2.285399E+04,5.419956E+00,4.250148E+04,1.209670E+05,9.206688E+00,2.635878E+05,5.419956E+00,0.000000E+00,0.000000E+00
02:50:00,5.419956E+00,2.299696E+04,5.419956E+00,4.235852E+04,1.208204E+05,9.212284E+00,2.636328E+05,5.419956E+00,0.000000E+00,0.000000E+00
02:55:00,5.419956E+00,2.313992E+04,5.419956E+00,4.221555E+04,1.206736E+05,9.217778E+00,2.636771E+05,5.419956E+00,0.000000E+00,0.000000E+00
03:00:00,5.419956E+00,2.328289E+04,5.419956E+00,4.207258E+04,1.205269E+05,9.223172E+00,2.637205E+05,5.419956E+00,0.000000E+00,0.000000E+00
03:05:00,5.419956E+00,2.342585E+04,5.419956E+00,4.192962E+04,1.203802E+05,9.228469E+00,2.637632E+05,5.419956E+00,0.000000E+00,0.000000E+00
03:10:00,5.419956E+00,2.356882E+04,5.419956E+00,4.178665E+04,1.202335E+05,9.233667E+00,2.638050E+05,5.419956E+00,0.000000E+00,0.000000E+00
03:15:00,5.419956E+00,2.371178E+04,5.419956E+00,4.164369E+04,1.200868E+05,9.238771E+00,2.638461E+05,5.419956E+00,0.000000E+00,0.000000E+00
03:20:00,5.419956E+00,2.385475E+04,5.419956E+00,4.150072E+04,1.199401E+05,9.243781E+00,2.638864E+05,5.419956E+00,0.000000E+00,0.000000E+00
03:25:00,5.419956E+00,2.399771E+04,5.419956E+00,4.135776E+04,1.197935E+05,9.248714E+00,2.639262E+05,5.419956E+00,0.000000E+00,0.000000E+00
