1,4.csl.vavDx.light.beijing,,,,,,,,,,,
2,4.csl.vavDx.light.beijing.test,,,,,,,,,,,
,,,,,,,,,,,,
Date/Time,[1] Site Outdoor Air Drybulb Temperature (C),[1] Site Outdoor Air Relative Humidity (%),[1] Site Wind Direction (deg),[1] Site Wind Speed (m/s),[1] Site Direct Solar Radiation Rate per Area (W/m2),[1] Site Diffuse Solar Radiation Rate per Area (W/m2),[2] Site Outdoor Air Drybulb Temperature (C),[2] Site Outdoor Air Relative Humidity (%),[2] Site Wind Direction (deg),[2] Site Wind Speed (m/s),[2] Site Direct Solar Radiation Rate per Area (W/m2),[2] Site Diffuse Solar Radiation Rate per Area (W/m2)
2002/6/1 0:10,23.2,69.1666666667,196.6666666667,0.6333333333,0,0,20.1666666667,53,111.6666666667,2.6666666667,0,0
2002/6/1 0:20,22.3,70.3333333333,193.3333333333,0.5666666667,0,0,20.3333333333,53,113.3333333333,2.3333333333,0,0
2002/6/1 0:30,21.4,71.5,190,0.5,0,0,20.5,53,115,2,0,0
2002/6/1 0:40,20.5,72.6666666667,186.6666666667,0.4333333333,0,0,20.6666666667,53,116.6666666667,1.6666666667,0,0
2002/6/1 0:50,19.6,73.8333333333,183.3333333333,0.3666666667,0,0,20.8333333333,53,118.3333333333,1.3333333333,0,0
2002/6/1 1:00,18.7,75,180,0.3,0,0,21,53,120,1,0,0
2002/6/1 1:10,18.6833333333,75,150,0.25,0,0,20.9333333333,54,111.6666666667,1,0,0
2002/6/1 1:20,18.6666666667,75,120,0.2,0,0,20.8666666667,55,103.3333333333,1,0,0
2002/6/1 1:30,18.65,75,90,0.15,0,0,20.8,56,95,1,0,0
2002/6/1 1:40,18.6333333333,75,60,0.1,0,0,20.7333333333,57,86.6666666667,1,0,0
2002/6/1 1:50,18.6166666667,75,30,0.05,0,0,20.6666666667,58,78.3333333333,1,0,0
2002/6/1 2:00,18.6,75,0,0,0,0,20.6,59,70,1,0,0
2002/6/1 2:10,18.55,75.1666666667,0,0.05,0,0,19.8333333333,62.8333333333,61.6666666667,1.1666666667,0,0
2002/6/1 2:20,18.5,75.3333333333,0,0.1,0,0,19.0666666667,66.6666666667,53.3333333333,1.3333333333,0,0
2002/6/1 2:30,18.45,75.5,0,0.15,0,0,18.3,70.5,45,1.5,0,0
2002/6/1 2:40,18.4,75.6666666667,0,0.2,0,0,17.5333333333,74.3333333333,36.6666666667,1.6666666667,0,0
2002/6/1 2:50,18.35,75.8333333333,0,0.25,0,0,16.7666666667,78.1666666667,28.3333333333,1.8333333333,0,0
2002/6/1 3:00,18.3,76,0,0.3,0,0,16,82,20,2,0,0
2002/6/1 3:10,18.2666666667,76,0,0.3666666667,0,0,15.8333333333,83,20,1.8333333333,0,0
2002/6/1 3:20,18.2333333333,76,0,0.4333333333,0,0,15.6666666667,84,20,1.6666666667,0,0
2002/6/1 3:30,18.2,76,0,0.5,0,0,15.5,85,20,1.5,0,0
2002/6/1 3:40,18.1666666667,76,0,0.5666666667,0,0,15.3333333333,86,20,1.3333333333,0,0
2002/6/1 3:50,18.1333333333,76,0,0.6333333333,0,0,15.1666666667,87,20,1.1666666667,0,0
2002/6/1 4:00,18.1,76,0,0.7,0,0,15,88,20,1,0,0
2002/6/1 4:10,18.0833333333,75.8333333333,56.6666666667,0.75,0,0,15.2166666667,86.1666666667,18.3333333333,1.0833333333,0,0
2002/6/1 4:20,18.0666666667,75.6666666667,113.3333333333,0.8,0,0,15.4333333333,84.3333333333,16.6666666667,1.1666666667,0,0
2002/6/1 4:30,18.05,75.5,170,0.85,0,0,15.65,82.5,15,1.25,0,0
2002/6/1 4:40,18.0333333333,75.3333333333,226.6666666667,0.9,0,0,15.8666666667,80.6666666667,13.3333333333,1.3333333333,0,0
2002/6/1 4:50,18.0166666667,75.1666666667,283.3333333333,0.95,0,0,16.0833333333,78.8333333333,11.6666666667,1.4166666667,0,0
2002/6/1 5:00,18,75,340,1,1,17.5,16.3,77,10,1.5,18.5,17
2002/6/1 5:10,18,74.6666666667,340,0.95,1.3333333333,23.3333333333,16.75,75.5,65,1.5833333333,24.6666666667,22.6666666667
2002/6/1 5:20,18,74.3333333333,340,0.9,1.6666666667,29.1666666667,17.2,74,120,1.6666666667,30.8333333333,28.3333333333
2002/6/1 5:30,18,74,340,0.85,2,35,17.65,72.5,175,1.75,37,34
2002/6/1 5:40,18,73.6666666667,340,0.8,43,47.8333333333,18.1,71,230,1.8333333333,71,47.3333333333
2002/6/1 5:50,18,73.3333333333,340,0.75,84,60.6666666667,18.55,69.5,285,1.9166666667,105,60.6666666667
2002/6/1 6:00,18,73,340,0.7,125,73.5,19,68,340,2,139,74
2002/6/1 6:10,18.4666666667,70.3333333333,340,0.6333333333,166,86.3333333333,19.5,63.5,343.3333333333,2.3333333333,173,87.3333333333
2002/6/1 6:20,18.9333333333,67.6666666667,340,0.5666666667,207,99.1666666667,20,59,346.6666666667,2.6666666667,207,100.6666666667
2002/6/1 6:30,19.4,65,340,0.5,248,112,20.5,54.5,350,3,241,114
2002/6/1 6:40,19.8666666667,62.3333333333,340,0.4333333333,284.3333333333,120.3333333333,21,50,353.3333333333,3.3333333333,276,122
2002/6/1 6:50,20.3333333333,59.6666666667,340,0.3666666667,320.6666666667,128.6666666667,21.5,45.5,356.6666666667,3.6666666667,311,130
2002/6/1 7:00,20.8,57,340,0.3,357,137,22,41,360,4,346,138
2002/6/1 7:10,21.1333333333,55.5,283.3333333333,0.25,393.3333333333,145.3333333333,22.3666666667,40.3333333333,303.3333333333,3.8333333333,381,146
2002/6/1 7:20,21.4666666667,54,226.6666666667,0.2,429.6666666667,153.6666666667,22.7333333333,39.6666666667,246.6666666667,3.6666666667,416,154
2002/6/1 7:30,21.8,52.5,170,0.15,466,162,23.1,39,190,3.5,451,162
2002/6/1 7:40,22.1333333333,51,113.3333333333,0.1,499,160.6666666667,23.4666666667,38.3333333333,133.3333333333,3.3333333333,476.1666666667,165.5
2002/6/1 7:50,22.4666666667,49.5,56.6666666667,0.05,532,159.3333333333,23.8333333333,37.6666666667,76.6666666667,3.1666666667,501.3333333333,169
2002/6/1 8:00,22.8,48,0,0,565,158,24.2,37,20,3,526.5,172.5
2002/6/1 8:10,23.0333333333,47.6666666667,0,0.1666666667,598,156.6666666667,24.5,35.1666666667,25,3.1666666667,551.6666666667,176
2002/6/1 8:20,23.2666666667,47.3333333333,0,0.3333333333,631,155.3333333333,24.8,33.3333333333,30,3.3333333333,576.8333333333,179.5
2002/6/1 8:30,23.5,47,0,0.5,664,154,25.1,31.5,35,3.5,602,183
2002/6/1 8:40,23.7333333333,46.6666666667,0,0.6666666667,678.5,155.3333333333,25.4,29.6666666667,40,3.6666666667,619.1666666667,184
2002/6/1 8:50,23.9666666667,46.3333333333,0,0.8333333333,693,156.6666666667,25.7,27.8333333333,45,3.8333333333,636.3333333333,185
2002/6/1 9:00,24.2,46,0,1,707.5,158,26,26,50,4,653.5,186
2002/6/1 9:10,24.4166666667,45.5,0,1.1666666667,722,159.3333333333,26.3333333333,25.5,55,3.6666666667,670.6666666667,187
2002/6/1 9:20,24.6333333333,45,0,1.3333333333,736.5,160.6666666667,26.6666666667,25,60,3.3333333333,687.8333333333,188
2002/6/1 9:30,24.85,44.5,0,1.5,751,162,27,24.5,65,3,705,189
2002/6/1 9:40,25.0666666667,44,0,1.6666666667,758.3333333333,163.6666666667,27.3333333333,24,70,2.6666666667,715.8333333333,188.5
2002/6/1 9:50,25.2833333333,43.5,0,1.8333333333,765.6666666667,165.3333333333,27.6666666667,23.5,75,2.3333333333,726.6666666667,188
2002/6/1 10:00,25.5,43,0,2,773,167,28,23,80,2,737.5,187.5
2002/6/1 10:10,25.7333333333,42.6666666667,26.6666666667,2.1666666667,780.3333333333,168.6666666667,27.9666666667,23.5,96.6666666667,2.0833333333,748.3333333333,187
2002/6/1 10:20,25.9666666667,42.3333333333,53.3333333333,2.3333333333,787.6666666667,170.3333333333,27.9333333333,24,113.3333333333,2.1666666667,759.1666666667,186.5
2002/6/1 10:30,26.2,42,80,2.5,795,172,27.9,24.5,130,2.25,770,186
2002/6/1 10:40,26.4333333333,41.6666666667,106.6666666667,2.6666666667,745.5,207,27.8666666667,25,146.6666666667,2.3333333333,775.5,185.5
2002/6/1 10:50,26.6666666667,41.3333333333,133.3333333333,2.8333333333,696,242,27.8333333333,25.5,163.3333333333,2.4166666667,781,185
2002/6/1 11:00,26.9,41,160,3,646.5,277,27.8,26,180,2.5,786.5,184.5
2002/6/1 11:10,27.0833333333,40.6666666667,160,3.1166666667,597,312,28.1666666667,24.6666666667,180,2.25,792,184
2002/6/1 11:20,27.2666666667,40.3333333333,160,3.2333333333,547.5,347,28.5333333333,23.3333333333,180,2,797.5,183.5
2002/6/1 11:30,27.45,40,160,3.35,498,382,28.9,22,180,1.75,803,183
