1,13.csl.vavDx.light.pittsburgh.heat,
2,15.csl.vavDx.heavy.pittsburgh.heat,
,,
Date/Time,[1] Zone Air Temperature (C),[2] Zone Air Temperature (C)
2002/1/1 0:10,18.47265052,18.36233349
2002/1/1 0:20,18.48137599,18.35512618
2002/1/1 0:30,18.48174076,18.35522348
2002/1/1 0:40,18.48163113,18.35523728
2002/1/1 0:50,18.48153244,18.35516204
2002/1/1 1:00,18.48108045,18.3550536
2002/1/1 1:10,18.51065703,17.84540626
2002/1/1 1:20,18.51097751,17.67216695
2002/1/1 1:30,18.51121866,17.57242938
2002/1/1 1:40,18.51148051,17.56877056
2002/1/1 1:50,18.51154147,17.56616257
2002/1/1 2:00,18.50764747,17.56861324
2002/1/1 2:10,17.81539589,17.74593602
2002/1/1 2:20,17.56559692,17.72388945
2002/1/1 2:30,17.40775676,17.72019162
2002/1/1 2:40,17.3997413,17.72241803
2002/1/1 2:50,17.4008075,17.72293906
2002/1/1 3:00,17.40102263,17.72302872
2002/1/1 3:10,18.49950093,18.51576718
2002/1/1 3:20,18.45478588,18.48078577
2002/1/1 3:30,18.4498035,18.48043451
2002/1/1 3:40,18.45192343,18.4805252
2002/1/1 3:50,18.45225032,18.47722812
2002/1/1 4:00,18.45235429,18.47911783
2002/1/1 4:10,17.84093489,17.85474992
2002/1/1 4:20,17.54834164,17.60495197
2002/1/1 4:30,17.25136468,17.43586849
2002/1/1 4:40,17.11595772,17.43570336
2002/1/1 4:50,17.08830783,17.43555732
2002/1/1 5:00,17.08257179,17.43555223
2002/1/1 5:10,18.23883301,18.10189846
2002/1/1 5:20,18.08694775,18.02056245
2002/1/1 5:30,18.08049275,18.01939975
2002/1/1 5:40,18.08308168,18.01651313
2002/1/1 5:50,18.08366144,18.01811761
2002/1/1 6:00,18.08375519,18.01865858
2002/1/1 6:10,17.731981,17.68965892
2002/1/1 6:20,17.67470067,17.58775207
2002/1/1 6:30,17.6703692,17.55220604
2002/1/1 6:40,17.67261669,17.54860158
2002/1/1 6:50,17.67310062,17.54999395
2002/1/1 7:00,17.67327314,17.55026243
2002/1/1 7:10,17.74678053,17.35912907
2002/1/1 7:20,17.74845765,17.23123834
2002/1/1 7:30,17.74570892,17.07811762
2002/1/1 7:40,17.7474887,17.06989887
2002/1/1 7:50,17.74769649,17.07065872
2002/1/1 8:00,17.74786174,17.07081839
2002/1/1 8:10,18.43191055,17.55384175
2002/1/1 8:20,18.4106791,17.47272234
2002/1/1 8:30,18.40665168,17.46744512
2002/1/1 8:40,18.40866888,17.46869498
2002/1/1 8:50,18.40910707,17.4689164
2002/1/1 9:00,18.40919512,17.46894262
2002/1/1 9:10,18.00907959,17.60964773
2002/1/1 9:20,17.89469586,17.56685973
2002/1/1 9:30,17.78246777,17.55636387
2002/1/1 9:40,17.70655968,17.62026219
