1,7.csl.vavDx.light.shanghai,,,,,,,,,,,
2,7.csl.vavDx.light.shanghai.test,,,,,,,,,,,
,,,,,,,,,,,,
Date/Time,[1] Site Outdoor Air Drybulb Temperature (C),[1] Site Outdoor Air Relative Humidity (%),[1] Site Wind Direction (deg),[1] Site Wind Speed (m/s),[1] Site Direct Solar Radiation Rate per Area (W/m2),[1] Site Diffuse Solar Radiation Rate per Area (W/m2),[2] Site Outdoor Air Drybulb Temperature (C),[2] Site Outdoor Air Relative Humidity (%),[2] Site Wind Direction (deg),[2] Site Wind Speed (m/s),[2] Site Direct Solar Radiation Rate per Area (W/m2),[2] Site Diffuse Solar Radiation Rate per Area (W/m2)
2002/6/1 0:10,21.95,88.1666666667,123.3333333333,4.0833333333,0,0,25.3166666667,78.8333333333,46.6666666667,2.0833333333,0,0
2002/6/1 0:20,21.6,87.3333333333,106.6666666667,3.8666666667,0,0,25.3333333333,77.6666666667,73.3333333333,1.8666666667,0,0
2002/6/1 0:30,21.25,86.5,90,3.65,0,0,25.35,76.5,100,1.65,0,0
2002/6/1 0:40,20.9,85.6666666667,73.3333333333,3.4333333333,0,0,25.3666666667,75.3333333333,126.6666666667,1.4333333333,0,0
2002/6/1 0:50,20.55,84.8333333333,56.6666666667,3.2166666667,0,0,25.3833333333,74.1666666667,153.3333333333,1.2166666667,0,0
2002/6/1 1:00,20.2,84,40,3,0,0,25.4,73,180,1,0,0
2002/6/1 1:10,20.2666666667,84.1666666667,56.6666666667,3,0,0,25.2833333333,73.6666666667,180,1,0,0
2002/6/1 1:20,20.3333333333,84.3333333333,73.3333333333,3,0,0,25.1666666667,74.3333333333,180,1,0,0
2002/6/1 1:30,20.4,84.5,90,3,0,0,25.05,75,180,1,0,0
2002/6/1 1:40,20.4666666667,84.6666666667,106.6666666667,3,0,0,24.9333333333,75.6666666667,180,1,0,0
2002/6/1 1:50,20.5333333333,84.8333333333,123.3333333333,3,0,0,24.8166666667,76.3333333333,180,1,0,0
2002/6/1 2:00,20.6,85,140,3,0,0,24.7,77,180,1,0,0
2002/6/1 2:10,20.6666666667,85,140,3.05,0,0,24.6833333333,77.3333333333,180,1.0333333333,0,0
2002/6/1 2:20,20.7333333333,85,140,3.1,0,0,24.6666666667,77.6666666667,180,1.0666666667,0,0
2002/6/1 2:30,20.8,85,140,3.15,0,0,24.65,78,180,1.1,0,0
2002/6/1 2:40,20.8666666667,85,140,3.2,0,0,24.6333333333,78.3333333333,180,1.1333333333,0,0
