1,10.csl.vavDx.light.singapore,,,,,,,,,,,
2,10.csl.vavDx.light.singapore.test,,,,,,,,,,,
,,,,,,,,,,,,
Date/Time,[1] Site Outdoor Air Drybulb Temperature (C),[1] Site Outdoor Air Relative Humidity (%),[1] Site Wind Direction (deg),[1] Site Wind Speed (m/s),[1] Site Direct Solar Radiation Rate per Area (W/m2),[1] Site Diffuse Solar Radiation Rate per Area (W/m2),[2] Site Outdoor Air Drybulb Temperature (C),[2] Site Outdoor Air Relative Humidity (%),[2] Site Wind Direction (deg),[2] Site Wind Speed (m/s),[2] Site Direct Solar Radiation Rate per Area (W/m2),[2] Site Diffuse Solar Radiation Rate per Area (W/m2)
2002/9/1 0:10,25.3333333333,97.5,25,0.35,0,0,28,84,123.3333333333,3.6833333333,0,0
2002/9/1 0:20,25.6666666667,95,50,0.7,0,0,28,84,126.6666666667,3.7666666667,0,0
2002/9/1 0:30,26,92.5,75,1.05,0,0,28,84,130,3.85,0,0
2002/9/1 0:40,26.3333333333,90,100,1.4,0,0,28,84,133.3333333333,3.9333333333,0,0
2002/9/1 0:50,26.6666666667,87.5,125,1.75,0,0,28,84,136.6666666667,4.0166666667,0,0
2002/9/1 1:00,27,85,150,2.1,0,0,28,84,140,4.1,0,0
2002/9/1 1:10,27.05,84.8333333333,125,1.75,0,0,27.95,84,140,4.0166666667,0,0
2002/9/1 1:20,27.1,84.6666666667,100,1.4,0,0,27.9,84,140,3.9333333333,0,0
2002/9/1 1:30,27.15,84.5,75,1.05,0,0,27.85,84,140,3.85,0,0
2002/9/1 1:40,27.2,84.3333333333,50,0.7,0,0,27.8,84,140,3.7666666667,0,0
2002/9/1 1:50,27.25,84.1666666667,25,0.35,0,0,27.75,84,140,3.6833333333,0,0
2002/9/1 2:00,27.3,84,0,0,0,0,27.7,84,140,3.6,0,0
2002/9/1 2:10,27.3333333333,83.8333333333,23.3333333333,0.35,0,0,27.5833333333,84.8333333333,141.6666666667,3.5166666667,0,0
2002/9/1 2:20,27.3666666667,83.6666666667,46.6666666667,0.7,0,0,27.4666666667,85.6666666667,143.3333333333,3.4333333333,0,0
2002/9/1 2:30,27.4,83.5,70,1.05,0,0,27.35,86.5,145,3.35,0,0
2002/9/1 2:40,27.4333333333,83.3333333333,93.3333333333,1.4,0,0,27.2333333333,87.3333333333,146.6666666667,3.2666666667,0,0
2002/9/1 2:50,27.4666666667,83.1666666667,116.6666666667,1.75,0,0,27.1166666667,88.1666666667,148.3333333333,3.1833333333,0,0
2002/9/1 3:00,27.5,83,140,2.1,0,0,27,89,150,3.1,0,0
2002/9/1 3:10,27.5333333333,83.1666666667,141.6666666667,2,0,0,27,89,150,3.1,0,0
2002/9/1 3:20,27.5666666667,83.3333333333,143.3333333333,1.9,0,0,27,89,150,3.1,0,0
2002/9/1 3:30,27.6,83.5,145,1.8,0,0,27,89,150,3.1,0,0
2002/9/1 3:40,27.6333333333,83.6666666667,146.6666666667,1.7,0,0,27,89,150,3.1,0,0
2002/9/1 3:50,27.6666666667,83.8333333333,148.3333333333,1.6,0,0,27,89,150,3.1,0,0
2002/9/1 4:00,27.7,84,150,1.5,0,0,27,89,150,3.1,0,0
2002/9/1 4:10,27.7,84,145,1.4166666667,0,0,27.0833333333,88.3333333333,150,3.1,0,0
2002/9/1 4:20,27.7,84,140,1.3333333333,0,0,27.1666666667,87.6666666667,150,3.1,0,0
2002/9/1 4:30,27.7,84,135,1.25,0,0,27.25,87,150,3.1,0,0
2002/9/1 4:40,27.7,84,130,1.1666666667,0,0,27.3333333333,86.3333333333,150,3.1,0,0
2002/9/1 4:50,27.7,84,125,1.0833333333,0,0,27.4166666667,85.6666666667,150,3.1,0,0
2002/9/1 5:00,27.7,84,120,1,0,0,27.5,85,150,3.1,0,0
2002/9/1 5:10,27.7166666667,84,121.6666666667,1.1833333333,0,0,27.4166666667,85.6666666667,148.3333333333,3.1833333333,0,0
2002/9/1 5:20,27.7333333333,84,123.3333333333,1.3666666667,0,0,27.3333333333,86.3333333333,146.6666666667,3.2666666667,0,0
2002/9/1 5:30,27.75,84,125,1.55,0,0,27.25,87,145,3.35,0,0
2002/9/1 5:40,27.7666666667,84,126.6666666667,1.7333333333,0,0,27.1666666667,87.6666666667,143.3333333333,3.4333333333,0,0
2002/9/1 5:50,27.7833333333,84,128.3333333333,1.9166666667,0,0,27.0833333333,88.3333333333,141.6666666667,3.5166666667,0,0
2002/9/1 6:00,27.8,84,130,2.1,0,0,27,89,140,3.6,0,0
2002/9/1 6:10,27.8333333333,84,131.6666666667,2.1833333333,0,0,27,89,140,3.6,0,0
2002/9/1 6:20,27.8666666667,84,133.3333333333,2.2666666667,0,0,27,89,140,3.6,0,0
2002/9/1 6:30,27.9,84,135,2.35,0,0,27,89,140,3.6,0,0
2002/9/1 6:40,27.9333333333,84,136.6666666667,2.4333333333,0,0,27,89,140,3.6,0,0
2002/9/1 6:50,27.9666666667,84,138.3333333333,2.5166666667,0,0,27,89,140,3.6,0,0
2002/9/1 7:00,28,84,140,2.6,0,0,27,89,140,3.6,0,0
2002/9/1 7:10,28,84.3333333333,141.6666666667,2.4166666667,0,18.6666666667,27.1833333333,87.5,141.6666666667,3.6,41.3333333333,26
2002/9/1 7:20,28,84.6666666667,143.3333333333,2.2333333333,0,23.3333333333,27.3666666667,86,143.3333333333,3.6,51.6666666667,32.5
2002/9/1 7:30,28,85,145,2.05,0,28,27.55,84.5,145,3.6,62,39
2002/9/1 7:40,28,85.3333333333,146.6666666667,1.8666666667,13.6666666667,47.8333333333,27.7333333333,83,146.6666666667,3.6,72.1666666667,57
2002/9/1 7:50,28,85.6666666667,148.3333333333,1.6833333333,27.3333333333,67.6666666667,27.9166666667,81.5,148.3333333333,3.6,82.3333333333,75
2002/9/1 8:00,28,86,150,1.5,41,87.5,28.1,80,150,3.6,92.5,93
2002/9/1 8:10,28.1666666667,85.6666666667,153.3333333333,1.5,54.6666666667,107.3333333333,28.25,79.8333333333,151.6666666667,3.6,102.6666666667,111
2002/9/1 8:20,28.3333333333,85.3333333333,156.6666666667,1.5,68.3333333333,127.1666666667,28.4,79.6666666667,153.3333333333,3.6,112.8333333333,129
2002/9/1 8:30,28.5,85,160,1.5,82,147,28.55,79.5,155,3.6,123,147
2002/9/1 8:40,28.6666666667,84.6666666667,163.3333333333,1.5,87.6666666667,169,28.7,79.3333333333,156.6666666667,3.6,134.1666666667,165.6666666667
2002/9/1 8:50,28.8333333333,84.3333333333,166.6666666667,1.5,93.3333333333,191,28.85,79.1666666667,158.3333333333,3.6,145.3333333333,184.3333333333
2002/9/1 9:00,29,84,170,1.5,99,213,29,79,160,3.6,156.5,203
2002/9/1 9:10,29.1666666667,84,171.6666666667,1.85,104.6666666667,235,29.1666666667,78.3333333333,155,3.85,167.6666666667,221.6666666667
2002/9/1 9:20,29.3333333333,84,173.3333333333,2.2,110.3333333333,257,29.3333333333,77.6666666667,150,4.1,178.8333333333,240.3333333333
2002/9/1 9:30,29.5,84,175,2.55,116,279,29.5,77,145,4.35,190,259
2002/9/1 9:40,29.6666666667,84,176.6666666667,2.9,117.8333333333,299,29.6666666667,76.3333333333,140,4.6,179.1666666667,276
2002/9/1 9:50,29.8333333333,84,178.3333333333,3.25,119.6666666667,319,29.8333333333,75.6666666667,135,4.85,168.3333333333,293
2002/9/1 10:00,30,84,180,3.6,121.5,339,30,75,130,5.1,157.5,310
2002/9/1 10:10,29.8666666667,82.3333333333,183.3333333333,3.7666666667,123.3333333333,359,30.0333333333,75.3333333333,130,5.0166666667,146.6666666667,327
2002/9/1 10:20,29.7333333333,80.6666666667,186.6666666667,3.9333333333,125.1666666667,379,30.0666666667,75.6666666667,130,4.9333333333,135.8333333333,344
2002/9/1 10:30,29.6,79,190,4.1,127,399,30.1,76,130,4.85,125,361
2002/9/1 10:40,29.4666666667,77.3333333333,193.3333333333,4.2666666667,139.8333333333,403,30.1333333333,76.3333333333,130,4.7666666667,129.8333333333,372.8333333333
2002/9/1 10:50,29.3333333333,75.6666666667,196.6666666667,4.4333333333,152.6666666667,407,30.1666666667,76.6666666667,130,4.6833333333,134.6666666667,384.6666666667
2002/9/1 11:00,29.2,74,200,4.6,165.5,411,30.2,77,130,4.6,139.5,396.5
2002/9/1 11:10,29.5,71.5,198.3333333333,4.2666666667,178.3333333333,415,30.3333333333,76.6666666667,130,4.6,144.3333333333,408.3333333333
2002/9/1 11:20,29.8,69,196.6666666667,3.9333333333,191.1666666667,419,30.4666666667,76.3333333333,130,4.6,149.1666666667,420.1666666667
2002/9/1 11:30,30.1,66.5,195,3.6,204,423,30.6,76,130,4.6,154,432
2002/9/1 11:40,30.4,64,193.3333333333,3.2666666667,203.3333333333,430.3333333333,30.7333333333,75.6666666667,130,4.6,153.1666666667,438.5
2002/9/1 11:50,30.7,61.5,191.6666666667,2.9333333333,202.6666666667,437.6666666667,30.8666666667,75.3333333333,130,4.6,152.3333333333,445
2002/9/1 12:00,31,59,190,2.6,202,445,31,75,130,4.6,151.5,451.5
2002/9/1 12:10,31,60.1666666667,195,2.5166666667,201.3333333333,452.3333333333,31,74.1666666667,126.6666666667,4.6833333333,150.6666666667,458
2002/9/1 12:20,31,61.3333333333,200,2.4333333333,200.6666666667,459.6666666667,31,73.3333333333,123.3333333333,4.7666666667,149.8333333333,464.5
2002/9/1 12:30,31,62.5,205,2.35,200,467,31,72.5,120,4.85,149,471
2002/9/1 12:40,31,63.6666666667,210,2.2666666667,200.3333333333,467.5,31,71.6666666667,116.6666666667,4.9333333333,163,468.3333333333
2002/9/1 12:50,31,64.8333333333,215,2.1833333333,200.6666666667,468,31,70.8333333333,113.3333333333,5.0166666667,177,465.6666666667
2002/9/1 13:00,31,66,220,2.1,201,468.5,31,70,110,5.1,191,463
2002/9/1 13:10,30.8666666667,66,216.6666666667,2.35,201.3333333333,469,31,69.3333333333,126.6666666667,4.9333333333,205,460.3333333333
2002/9/1 13:20,30.7333333333,66,213.3333333333,2.6,201.6666666667,469.5,31,68.6666666667,143.3333333333,4.7666666667,219,457.6666666667
2002/9/1 13:30,30.6,66,210,2.85,202,470,31,68,160,4.6,233,455
2002/9/1 13:40,30.4666666667,66,206.6666666667,3.1,182.5,464.5,31,67.3333333333,176.6666666667,4.4333333333,223,452
2002/9/1 13:50,30.3333333333,66,203.3333333333,3.35,163,459,31,66.6666666667,193.3333333333,4.2666666667,213,449
2002/9/1 14:00,30.2,66,200,3.6,143.5,453.5,31,66,210,4.1,203,446
2002/9/1 14:10,29.8333333333,69,213.3333333333,3.6,124,448,31,66.6666666667,206.6666666667,4.2666666667,193,443
2002/9/1 14:20,29.4666666667,72,226.6666666667,3.6,104.5,442.5,31,67.3333333333,203.3333333333,4.4333333333,183,440
