Using TensorFlow backend.
[2019-04-22 10:24:11,569] A3C_AGENT_MAIN INFO:Namespace(action_repeat_n=1, action_space='part4_v3', activation='linear', agent_num=5, check_args_only=False, clip_norm=1.0, debug_log_prob=0.001, decay_steps=1000000, dropout_prob=0.0, end_e=0.0, env='Part4-Light-Shg-Train-Repeat-v2', eval_act_func='part4_v4', eval_env_res_max_keep=50, eval_epi_num=1, eval_freq=50000, forecast_dim=0, gamma=0.99, h_decay_bounds=[], h_regu_frac=[0.0], init_e=0.0, isNoisyNet=True, isNoisyNetEval_rmNoise=True, is_add_time_to_state=True, is_greedy_policy=False, is_learning_rate_decay_staircase=False, is_r_term_zero=True, is_warm_start=False, job_mode='Train', learning_rate=0.0005, learning_rate_decay_rate=1.0, learning_rate_decay_steps=100000, max_interactions=3000000, metric_func='part4_v2', model_dir='None', model_param=[13, 1], model_type='nn', num_threads=16, output='./Part4-Light-Shg-Train-Repeat-v2-res1', p_loss_frac=1.0, raw_state_prcs_func='cslDx_1', reward_func='part4_heuri_v8', rmsprop_decay=0.99, rmsprop_epsil=1e-10, rmsprop_momet=0.0, rwd_e_para=1.0, rwd_p_para=10.0, save_freq=500000, save_max_to_keep=5, save_scope='all', sharedNet_type='Dense', state_dim=11, test_env=['Part4-Light-Shg-Test-Repeat-v3', 'Part4-Light-Shg-Test-Repeat-v4'], test_mode='Multiple', train_act_func='part4_v4', train_freq=25, v_loss_frac=0.5, violation_penalty_scl=5.0, weight_initer='glorot_uniform', window_len=9)
[2019-04-22 10:24:11,569] A3C_AGENT_MAIN INFO:Start compiling...
2019-04-22 10:24:11.603028: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
[2019-04-22 10:24:28,089] A3C_AGENT_MAIN INFO:Start the learning...
[2019-04-22 10:24:28,089] A3C_AGENT_MAIN INFO:Prepare the evaluation environments ['Part4-Light-Shg-Train-Repeat-v2', 'Part4-Light-Shg-Test-Repeat-v3', 'Part4-Light-Shg-Test-Repeat-v4'] ...
[2019-04-22 10:24:28,115] A3C_EVAL-Part4-Light-Shg-Train-Repeat-v2 INFO:Evaluation worker starts!
[2019-04-22 10:24:28,137] A3C_EVAL-Part4-Light-Shg-Test-Repeat-v3 INFO:Evaluation worker starts!
[2019-04-22 10:24:28,160] A3C_EVAL-Part4-Light-Shg-Test-Repeat-v4 INFO:Evaluation worker starts!
[2019-04-22 10:24:28,160] A3C_AGENT_MAIN INFO:Prepare the local workers ...
[2019-04-22 10:24:28,160] A3C_AGENT_WORKER-Thread-2 INFO:Local worker starts!
[2019-04-22 10:24:28,229] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-2_ROOT INFO:Creating EnergyPlus simulation environment...
[2019-04-22 10:24:28,230] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-2_ROOT INFO:EnergyPlus working directory is in /home/zhiangz/Documents/HVAC-RL-Control/src/runs/rl_parametric_part4_shg_light/2/Eplus-env-Part4-Light-Shg-Train-Repeat-v2-res2/Eplus-env-sub_run1
[2019-04-22 10:24:29,161] A3C_AGENT_MAIN INFO:Prepare the local workers ...
[2019-04-22 10:24:29,162] A3C_AGENT_WORKER-Thread-3 INFO:Local worker starts!
[2019-04-22 10:24:29,279] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-3_ROOT INFO:Creating EnergyPlus simulation environment...
[2019-04-22 10:24:29,280] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-3_ROOT INFO:EnergyPlus working directory is in /home/zhiangz/Documents/HVAC-RL-Control/src/runs/rl_parametric_part4_shg_light/2/Eplus-env-Part4-Light-Shg-Train-Repeat-v2-res3/Eplus-env-sub_run1
[2019-04-22 10:24:30,163] A3C_AGENT_MAIN INFO:Prepare the local workers ...
[2019-04-22 10:24:30,164] A3C_AGENT_WORKER-Thread-4 INFO:Local worker starts!
[2019-04-22 10:24:30,338] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-4_ROOT INFO:Creating EnergyPlus simulation environment...
[2019-04-22 10:24:30,340] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-4_ROOT INFO:EnergyPlus working directory is in /home/zhiangz/Documents/HVAC-RL-Control/src/runs/rl_parametric_part4_shg_light/2/Eplus-env-Part4-Light-Shg-Train-Repeat-v2-res4/Eplus-env-sub_run1
[2019-04-22 10:24:31,165] A3C_AGENT_MAIN INFO:Prepare the local workers ...
[2019-04-22 10:24:31,166] A3C_AGENT_WORKER-Thread-5 INFO:Local worker starts!
[2019-04-22 10:24:31,410] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-5_ROOT INFO:Creating EnergyPlus simulation environment...
[2019-04-22 10:24:31,411] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-5_ROOT INFO:EnergyPlus working directory is in /home/zhiangz/Documents/HVAC-RL-Control/src/runs/rl_parametric_part4_shg_light/2/Eplus-env-Part4-Light-Shg-Train-Repeat-v2-res5/Eplus-env-sub_run1
[2019-04-22 10:24:32,170] A3C_AGENT_MAIN INFO:Prepare the local workers ...
[2019-04-22 10:24:32,171] A3C_AGENT_WORKER-Thread-6 INFO:Local worker starts!
[2019-04-22 10:24:32,368] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-6_ROOT INFO:Creating EnergyPlus simulation environment...
[2019-04-22 10:24:32,369] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-6_ROOT INFO:EnergyPlus working directory is in /home/zhiangz/Documents/HVAC-RL-Control/src/runs/rl_parametric_part4_shg_light/2/Eplus-env-Part4-Light-Shg-Train-Repeat-v2-res6/Eplus-env-sub_run1
[2019-04-22 10:24:33,172] A3C_AGENT_MAIN INFO:Prepare the local workers ...
[2019-04-22 10:24:33,172] A3C_AGENT_WORKER-Thread-7 INFO:Local worker starts!
[2019-04-22 10:24:33,373] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-7_ROOT INFO:Creating EnergyPlus simulation environment...
[2019-04-22 10:24:33,374] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-7_ROOT INFO:EnergyPlus working directory is in /home/zhiangz/Documents/HVAC-RL-Control/src/runs/rl_parametric_part4_shg_light/2/Eplus-env-Part4-Light-Shg-Train-Repeat-v2-res7/Eplus-env-sub_run1
[2019-04-22 10:24:34,173] A3C_AGENT_MAIN INFO:Prepare the local workers ...
[2019-04-22 10:24:34,174] A3C_AGENT_WORKER-Thread-8 INFO:Local worker starts!
[2019-04-22 10:24:34,420] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-8_ROOT INFO:Creating EnergyPlus simulation environment...
[2019-04-22 10:24:34,422] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-8_ROOT INFO:EnergyPlus working directory is in /home/zhiangz/Documents/HVAC-RL-Control/src/runs/rl_parametric_part4_shg_light/2/Eplus-env-Part4-Light-Shg-Train-Repeat-v2-res8/Eplus-env-sub_run1
[2019-04-22 10:24:35,175] A3C_AGENT_MAIN INFO:Prepare the local workers ...
[2019-04-22 10:24:35,175] A3C_AGENT_WORKER-Thread-9 INFO:Local worker starts!
[2019-04-22 10:24:35,442] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-9_ROOT INFO:Creating EnergyPlus simulation environment...
[2019-04-22 10:24:35,443] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-9_ROOT INFO:EnergyPlus working directory is in /home/zhiangz/Documents/HVAC-RL-Control/src/runs/rl_parametric_part4_shg_light/2/Eplus-env-Part4-Light-Shg-Train-Repeat-v2-res9/Eplus-env-sub_run1
[2019-04-22 10:24:36,176] A3C_AGENT_MAIN INFO:Prepare the local workers ...
[2019-04-22 10:24:36,177] A3C_AGENT_WORKER-Thread-10 INFO:Local worker starts!
[2019-04-22 10:24:36,421] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-10_ROOT INFO:Creating EnergyPlus simulation environment...
[2019-04-22 10:24:36,422] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-10_ROOT INFO:EnergyPlus working directory is in /home/zhiangz/Documents/HVAC-RL-Control/src/runs/rl_parametric_part4_shg_light/2/Eplus-env-Part4-Light-Shg-Train-Repeat-v2-res10/Eplus-env-sub_run1
[2019-04-22 10:24:37,178] A3C_AGENT_MAIN INFO:Prepare the local workers ...
[2019-04-22 10:24:37,179] A3C_AGENT_WORKER-Thread-11 INFO:Local worker starts!
[2019-04-22 10:24:37,410] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-11_ROOT INFO:Creating EnergyPlus simulation environment...
[2019-04-22 10:24:37,412] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-11_ROOT INFO:EnergyPlus working directory is in /home/zhiangz/Documents/HVAC-RL-Control/src/runs/rl_parametric_part4_shg_light/2/Eplus-env-Part4-Light-Shg-Train-Repeat-v2-res11/Eplus-env-sub_run1
[2019-04-22 10:24:38,180] A3C_AGENT_MAIN INFO:Prepare the local workers ...
[2019-04-22 10:24:38,181] A3C_AGENT_WORKER-Thread-12 INFO:Local worker starts!
[2019-04-22 10:24:38,417] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-12_ROOT INFO:Creating EnergyPlus simulation environment...
[2019-04-22 10:24:38,419] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-12_ROOT INFO:EnergyPlus working directory is in /home/zhiangz/Documents/HVAC-RL-Control/src/runs/rl_parametric_part4_shg_light/2/Eplus-env-Part4-Light-Shg-Train-Repeat-v2-res12/Eplus-env-sub_run1
[2019-04-22 10:24:39,182] A3C_AGENT_MAIN INFO:Prepare the local workers ...
[2019-04-22 10:24:39,183] A3C_AGENT_WORKER-Thread-13 INFO:Local worker starts!
[2019-04-22 10:24:39,435] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-13_ROOT INFO:Creating EnergyPlus simulation environment...
[2019-04-22 10:24:39,437] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-13_ROOT INFO:EnergyPlus working directory is in /home/zhiangz/Documents/HVAC-RL-Control/src/runs/rl_parametric_part4_shg_light/2/Eplus-env-Part4-Light-Shg-Train-Repeat-v2-res13/Eplus-env-sub_run1
[2019-04-22 10:24:40,184] A3C_AGENT_MAIN INFO:Prepare the local workers ...
[2019-04-22 10:24:40,185] A3C_AGENT_WORKER-Thread-14 INFO:Local worker starts!
[2019-04-22 10:24:40,439] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-14_ROOT INFO:Creating EnergyPlus simulation environment...
[2019-04-22 10:24:40,440] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-14_ROOT INFO:EnergyPlus working directory is in /home/zhiangz/Documents/HVAC-RL-Control/src/runs/rl_parametric_part4_shg_light/2/Eplus-env-Part4-Light-Shg-Train-Repeat-v2-res14/Eplus-env-sub_run1
[2019-04-22 10:24:41,185] A3C_AGENT_MAIN INFO:Prepare the local workers ...
[2019-04-22 10:24:41,186] A3C_AGENT_WORKER-Thread-15 INFO:Local worker starts!
[2019-04-22 10:24:41,466] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-15_ROOT INFO:Creating EnergyPlus simulation environment...
[2019-04-22 10:24:41,468] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-15_ROOT INFO:EnergyPlus working directory is in /home/zhiangz/Documents/HVAC-RL-Control/src/runs/rl_parametric_part4_shg_light/2/Eplus-env-Part4-Light-Shg-Train-Repeat-v2-res15/Eplus-env-sub_run1
[2019-04-22 10:24:42,187] A3C_AGENT_MAIN INFO:Prepare the local workers ...
[2019-04-22 10:24:42,188] A3C_AGENT_WORKER-Thread-16 INFO:Local worker starts!
[2019-04-22 10:24:42,457] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-16_ROOT INFO:Creating EnergyPlus simulation environment...
[2019-04-22 10:24:42,474] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-16_ROOT INFO:EnergyPlus working directory is in /home/zhiangz/Documents/HVAC-RL-Control/src/runs/rl_parametric_part4_shg_light/2/Eplus-env-Part4-Light-Shg-Train-Repeat-v2-res16/Eplus-env-sub_run1
[2019-04-22 10:24:43,189] A3C_AGENT_MAIN INFO:Prepare the local workers ...
[2019-04-22 10:24:43,190] A3C_AGENT_WORKER-Thread-17 INFO:Local worker starts!
[2019-04-22 10:24:43,707] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-17_ROOT INFO:Creating EnergyPlus simulation environment...
[2019-04-22 10:24:43,712] EPLUS_ENV_Part4-Light-Shg-Train-Repeat-v2_Thread-17_ROOT INFO:EnergyPlus working directory is in /home/zhiangz/Documents/HVAC-RL-Control/src/runs/rl_parametric_part4_shg_light/2/Eplus-env-Part4-Light-Shg-Train-Repeat-v2-res17/Eplus-env-sub_run1
[2019-04-22 10:24:44,526] A3C_AGENT_WORKER-Thread-2 INFO:Evaluating...
[2019-04-22 10:24:44,526] A3C_EVAL-Part4-Light-Shg-Train-Repeat-v2 INFO:Evaluation job starts!
